Wvlgth nm,Global tilt  W*m-2*nm-1,photon energy (J),photon flux (s-1 m-2 nm-1)
280.0,4.7309E-23,7.09455E-19,6.6684E-05
280.5,1.2307E-21,7.08191E-19,1.7378E-03
281.0,5.6895E-21,7.06931E-19,8.0482E-03
281.5,1.5662E-19,7.05675E-19,2.2194E-01
282.0,1.1946E-18,7.04424E-19,1.6959E+00
282.5,4.5436E-18,7.03177E-19,6.4615E+00
283.0,1.8452E-17,7.01935E-19,2.6287E+01
283.5,3.5360E-17,7.00697E-19,5.0464E+01
284.0,7.2670E-16,6.99463E-19,1.0389E+03
284.5,2.4856E-15,6.98234E-19,3.5598E+03
285.0,8.0142E-15,6.97009E-19,1.1498E+04
285.5,4.2613E-14,6.95788E-19,6.1244E+04
286.0,1.3684E-13,6.94572E-19,1.9701E+05
286.5,8.3823E-13,6.93359E-19,1.2089E+06
287.0,2.7367E-12,6.92151E-19,3.9539E+06
287.5,1.0903E-11,6.90948E-19,1.5780E+07
288.0,6.2337E-11,6.89748E-19,9.0376E+07
288.5,1.7162E-10,6.88553E-19,2.4925E+08
289.0,5.6265E-10,6.87362E-19,8.1856E+08
289.5,2.0749E-09,6.86174E-19,3.0239E+09
290.0,6.0168E-09,6.84991E-19,8.7838E+09
290.5,1.3783E-08,6.83812E-19,2.0156E+10
291.0,3.5052E-08,6.82637E-19,5.1348E+10
291.5,1.0913E-07,6.81466E-19,1.6014E+11
292.0,2.6830E-07,6.803E-19,3.9439E+11
292.5,4.2685E-07,6.79137E-19,6.2852E+11
293.0,8.6466E-07,6.77978E-19,1.2754E+12
293.5,2.2707E-06,6.76823E-19,3.3549E+12
294.0,4.1744E-06,6.75672E-19,6.1781E+12
294.5,6.5911E-06,6.74525E-19,9.7715E+12
295.0,1.2290E-05,6.73381E-19,1.8251E+13
295.5,2.7826E-05,6.72242E-19,4.1393E+13
296.0,4.7904E-05,6.71106E-19,7.1381E+13
296.5,7.1345E-05,6.69975E-19,1.0649E+14
297.0,9.6800E-05,6.68847E-19,1.4473E+14
297.5,1.8608E-04,6.67723E-19,2.7868E+14
298.0,2.8988E-04,6.66602E-19,4.3486E+14
298.5,3.5789E-04,6.65486E-19,5.3779E+14
299.0,4.9211E-04,6.64373E-19,7.4071E+14
299.5,8.6068E-04,6.63264E-19,1.2976E+15
300.0,1.0205E-03,6.62158E-19,1.5412E+15
300.5,1.2450E-03,6.61057E-19,1.8833E+15
301.0,1.9300E-03,6.59958E-19,2.9244E+15
301.5,2.6914E-03,6.58864E-19,4.0849E+15
302.0,2.9209E-03,6.57773E-19,4.4406E+15
302.5,4.2840E-03,6.56686E-19,6.5237E+15
303.0,7.0945E-03,6.55602E-19,1.0821E+16
303.5,8.9795E-03,6.54522E-19,1.3719E+16
304.0,9.4701E-03,6.53446E-19,1.4493E+16
304.5,1.1953E-02,6.52373E-19,1.8322E+16
305.0,1.6463E-02,6.51303E-19,2.5277E+16
305.5,1.8719E-02,6.50237E-19,2.8788E+16
306.0,1.8577E-02,6.49175E-19,2.8616E+16
306.5,2.1108E-02,6.48116E-19,3.2568E+16
307.0,2.7849E-02,6.4706E-19,4.3039E+16
307.5,3.5635E-02,6.46008E-19,5.5162E+16
308.0,3.7837E-02,6.44959E-19,5.8666E+16
308.5,4.1430E-02,6.43914E-19,6.4341E+16
309.0,4.0534E-02,6.42872E-19,6.3051E+16
309.5,4.3306E-02,6.41834E-19,6.7472E+16
310.0,5.0939E-02,6.40798E-19,7.9493E+16
310.5,6.5540E-02,6.39766E-19,1.0244E+17
311.0,8.2922E-02,6.38738E-19,1.2982E+17
311.5,8.4080E-02,6.37713E-19,1.3185E+17
312.0,9.3376E-02,6.36691E-19,1.4666E+17
312.5,9.8984E-02,6.35672E-19,1.5572E+17
313.0,1.0733E-01,6.34656E-19,1.6912E+17
313.5,1.0757E-01,6.33644E-19,1.6976E+17
314.0,1.1969E-01,6.32635E-19,1.8919E+17
314.5,1.3060E-01,6.3163E-19,2.0677E+17
315.0,1.3625E-01,6.30627E-19,2.1605E+17
315.5,1.1838E-01,6.29628E-19,1.8802E+17
316.0,1.2348E-01,6.28631E-19,1.9643E+17
316.5,1.5036E-01,6.27638E-19,2.3956E+17
317.0,1.7158E-01,6.26648E-19,2.7381E+17
317.5,1.8245E-01,6.25661E-19,2.9161E+17
318.0,1.7594E-01,6.24678E-19,2.8165E+17
