Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1)
1600,0.0297
1599,0.0516
1598,0.03416
1597,0.04386
1596,0.03802
1595,0.03118
1594,0.04538
1593,0.03838
1592,0.0392
1591,0.04282
1590,0.04908
1589,0.03464
1588,0.03632
1587,0.03758
1586,0.0356
1585,0.0424
1584,0.04074
1583,0.03766
1582,0.05172
1581,0.04544
1580,0.0451
1579,0.03756
1578,0.04854
1577,0.0439
1576,0.03948
1575,0.02886
1574,0.04252
1573,0.0477
1572,0.04028
1571,0.03374
1570,0.0407
1569,0.03508
1568,0.03202
1567,0.03274
1566,0.04906
1565,0.04092
1564,0.04188
1563,0.05136
1562,0.04136
1561,0.04356
1560,0.03446
1559,0.02754
1558,0.04402
1557,0.03734
1556,0.04702
1555,0.0501
1554,0.03058
1553,0.02396
1552,0.0376
1551,0.03328
1550,0.03398
1549,0.02826
1548,0.04458
1547,0.03006
1546,0.04538
1545,0.0346
1544,0.04006
1543,0.04232
1542,0.03536
1541,0.03276
1540,0.03876
1539,0.04284
1538,0.04066
1537,0.03492
1536,0.03618
1535,0.02922
1534,0.02922
1533,0.04038
1532,0.04162
1531,0.04678
1530,0.04384
1529,0.0377
1528,0.03956
1527,0.04266
1526,0.04328
1525,0.03922
1524,0.03566
1523,0.04152
1522,0.04818
1521,0.03576
1520,0.04038
1519,0.03594
1518,0.03458
1517,0.04268
1516,0.04596
1515,0.04756
1514,0.04484
1513,0.0432
1512,0.04376
1511,0.04458
1510,0.04188
1509,0.03984
1508,0.0385
1507,0.0444
1506,0.04438
1505,0.0372
1504,0.04042
1503,0.04338
1502,0.0399
1501,0.0423
1500,0.04116
1499,0.03524
1498,0.03298
1497,0.0264
1496,0.03652
1495,0.04068
1494,0.0407
1493,0.04936
1492,0.05222
1491,0.04474
1490,0.04082
1489,0.03532
1488,0.02978
1487,0.03538
1486,0.0338
1485,0.03726
1484,0.04008
1483,0.03988
1482,0.04156
1481,0.03574
1480,0.03536
1479,0.04116
1478,0.04202
1477,0.04128
1476,0.04358
1475,0.03756
1474,0.03456
1473,0.02836
1472,0.04
1471,0.03862
1470,0.0396
1469,0.03876
1468,0.03534
1467,0.03338
1466,0.04152
1465,0.04108
1464,0.04294
1463,0.04054
1462,0.0383
1461,0.03788
1460,0.02922
1459,0.02932
1458,0.0398
1457,0.03422
1456,0.04034
1455,0.04576
1454,0.04244
1453,0.03472
1452,0.038
1451,0.0409
1450,0.03732
1449,0.03728
1448,0.04198
1447,0.04264
1446,0.0411
1445,0.03396
1444,0.03714
1443,0.03602
1442,0.03314
1441,0.03172
1440,0.02538
1439,0.04068
1438,0.04158
1437,0.0372
1436,0.03514
1435,0.04832
1434,0.05824
1433,0.04416
1432,0.04126
1431,0.07162
1430,0.06532
1429,0.05952
1428,0.07848
1427,0.08732
1426,0.06964
1425,0.07788
1424,0.07154
1423,0.08028
1422,0.07566
1421,0.07866
1420,0.0751
1419,0.07702
1418,0.09204
1417,0.0818
1416,0.06062
1415,0.07736
1414,0.05828
1413,0.0635
1412,0.05632
1411,0.0458
1410,0.04978
1409,0.03328
1408,0.03312
1407,0.03096
1406,0.02084
1405,0.0162
1404,0.01608
1403,0.01496
1402,0.00854
1401,0.00284
1400,0.00874
1399,-0.002
1398,-0.02174
1397,-6.20E-04
1396,-0.00782
1395,0.00668
1394,-0.02884
1393,-0.02208
1392,-0.02142
1391,-0.03498
1390,-0.03734
1389,-0.04146
1388,-0.03324
1387,-0.0287
1386,-0.03814
1385,-0.0514
1384,-0.0578
1383,-0.0402
1382,-0.03396
1381,-0.049
1380,-0.02316
1379,-0.03102
1378,-0.02954
1377,-0.01628
1376,-5.60E-04
1375,-0.00904
1374,-0.01106
1373,0.0129
1372,0.0319
1371,0.03602
1370,0.02292
1369,0.01822
1368,0.02978
1367,0.04658
1366,0.03582
1365,0.0567
1364,0.03038
1363,0.04678
1362,0.04994
1361,0.04374
1360,0.0563
1359,0.04552
1358,0.0488
1357,0.04396
1356,0.0483
1355,0.04416
1354,0.05364
1353,0.05646
1352,0.05246
1351,0.05974
1350,0.04832
1349,0.05784
1348,0.05412
1347,0.06338
1346,0.0573
1345,0.05474
1344,0.05236
1343,0.06608
1342,0.06662
1341,0.06098
1340,0.05078
1339,0.0596
1338,0.06636
1337,0.06384
1336,0.06638
1335,0.0645
1334,0.06032
1333,0.0686
1332,0.06422
1331,0.06558
1330,0.05844
1329,0.05304
1328,0.0725
1327,0.06494
1326,0.06428
1325,0.0607
1324,0.0581
1323,0.0628
1322,0.07412
1321,0.0756
1320,0.0704
1319,0.07466
1318,0.08228
1317,0.08626
1316,0.0787
1315,0.07584
1314,0.08024
1313,0.08056
1312,0.0746
1311,0.0799
1310,0.08784
1309,0.09318
1308,0.0937
1307,0.09254
1306,0.0877
1305,0.08996
1304,0.0939
1303,0.09284
1302,0.0878
1301,0.08582
1300,0.09042
1299,0.10078
1298,0.09698
1297,0.10138
1296,0.10312
1295,0.10834
1294,0.10634
1293,0.10592
1292,0.11012
1291,0.11024
1290,0.10894
1289,0.11124
