Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1)
1600,3.69E-04
1599,0.00758
1598,0.0018
1597,0.00455
1596,1.75E-04
1595,-0.00173
1594,0.00354
1593,0.00535
1592,0.0065
1591,0.00166
1590,0.00408
1589,-0.00368
1588,0.00198
1587,0.00164
1586,-0.00364
1585,0.00129
1584,0.00516
1583,0.00557
1582,0.00682
1581,0.00623
1580,0.00425
1579,0.00192
1578,0.00549
1577,0.00865
1576,0.00359
1575,0.00106
1574,0.01007
1573,0.01109
1572,0.00527
1571,-0.00483
1570,0.00329
1569,0.00458
1568,0.00104
1567,-2.06E-04
1566,0.00415
1565,0.00713
1564,0.00647
1563,0.01121
1562,0.00461
1561,0.00316
1560,0.00224
1559,3.78E-04
1558,0.00288
1557,0.00145
1556,0.00281
1555,0.00596
1554,0.00486
1553,3.40E-04
1552,0.00335
1551,0.00224
1550,0.00506
1549,8.00E-04
1548,0.00832
1547,4.03E-05
1546,0.00699
1545,-5.40E-04
1544,0.00247
1543,0.00507
1542,0.00681
1541,0.00217
1540,0.00762
1539,0.01003
1538,0.00594
1537,0.00318
1536,1.48E-04
1535,-5.72E-04
1534,-0.00264
1533,0.00558
1532,0.0062
1531,0.00721
1530,0.00375
1529,0.0075
1528,0.00406
1527,0.00472
1526,0.0065
1525,0.00596
1524,0.00101
1523,0.00184
1522,0.00721
1521,0.00414
1520,0.0054
1519,0.00518
1518,0.00298
1517,0.00376
1516,0.00229
1515,0.00436
1514,0.00561
1513,0.00644
1512,0.00761
1511,0.00621
1510,0.00458
1509,0.00708
1508,0.00603
1507,0.00411
1506,0.00555
1505,0.0031
1504,0.00737
1503,0.00784
1502,0.00154
1501,0.00651
1500,0.00911
1499,0.00485
1498,0.00588
1497,0.00341
1496,0.00541
1495,0.00412
1494,0.0045
1493,0.00515
1492,0.00495
1491,0.00645
1490,0.00858
1489,0.00631
1488,0.00139
1487,0.00137
1486,-7.32E-04
1485,0.00264
1484,0.00248
1483,0.00133
1482,0.00519
1481,0.00107
1480,0.00366
1479,0.00814
1478,0.00326
1477,0.00185
1476,0.00487
1475,0.0067
1474,0.0043
1473,0.00124
1472,0.00634
1471,0.00261
1470,-1.01E-04
1469,2.86E-04
1468,0.00177
1467,0.00331
1466,0.00518
1465,0.0041
1464,0.0046
1463,0.00619
1462,0.0035
1461,0.00407
1460,0.004
1459,0.00196
1458,0.00254
1457,0.00344
1456,0.00383
1455,9.63E-04
1454,5.50E-04
1453,-7.14E-04
1452,0.00467
1451,0.00453
1450,7.86E-04
1449,-0.00131
1448,0.00332
1447,0.0051
1446,2.41E-04
1445,-0.0021
1444,-1.27E-04
1443,0.00386
1442,-0.00173
1441,0.00186
1440,-0.00159
1439,0.0028
1438,0.00251
1437,-0.00106
1436,-8.52E-06
1435,0.00241
1434,0.0121
1433,0.00234
1432,0.00627
1431,0.01484
1430,0.01466
1429,0.01424
1428,0.01558
1427,0.0207
1426,0.02241
1425,0.02463
1424,0.02146
1423,0.02559
1422,0.02406
1421,0.02659
1420,0.02278
1419,0.02077
1418,0.02815
1417,0.01776
1416,0.01427
1415,0.02058
1414,0.01977
1413,0.01961
1412,0.01408
1411,0.01148
1410,0.01288
1409,0.00829
1408,0.00569
1407,-0.00165
1406,-4.55E-04
1405,-0.00433
1404,-0.00238
1403,-0.00681
1402,-0.01388
1401,-0.00665
1400,-0.00821
1399,-0.01036
1398,-0.01497
1397,-0.01875
1396,-0.01401
1395,-0.0032
1394,-0.01774
1393,-0.01971
1392,-0.01521
1391,-0.02071
1390,-0.02378
1389,-0.02643
1388,-0.02047
1387,-0.01594
1386,-0.02677
1385,-0.03065
1384,-0.03048
1383,-0.02707
1382,-0.02306
1381,-0.02731
1380,-0.01521
1379,-0.02269
1378,-0.02599
1377,-0.02091
1376,-0.01408
1375,-0.01384
1374,-0.02045
1373,-0.00694
1372,-7.04E-04
1371,0.00264
1370,-0.00545
1369,-0.00441
1368,-5.23E-04
1367,-0.00241
1366,0.00128
1365,0.00685
1364,-0.00915
1363,-3.12E-04
1362,0.00504
1361,0.00269
1360,0.00684
1359,0.00159
1358,0.00136
1357,0.00275
1356,-0.00246
1355,-7.66E-04
1354,0.00136
1353,0.00216
1352,-4.51E-04
1351,-0.00186
1350,-5.18E-04
1349,0.00306
1348,6.04E-04
1347,0.0034
1346,-6.13E-04
1345,0.00203
1344,-0.00114
1343,0.00719
1342,0.0015
1341,0.00237
1340,-6.70E-05
1339,-0.00381
1338,0.00253
1337,0.0013
1336,0.00585
1335,0.00359
1334,-3.53E-04
1333,0.00611
1332,0.00297
1331,0.00116
1330,-0.00293
1329,-0.00396
1328,0.00409
1327,0.00404
1326,0.00517
1325,-0.00102
1324,-0.00465
1323,-0.0017
1322,0.00493
1321,-7.22E-04
1320,-2.53E-04
1319,0.00173
1318,0.00598
1317,0.00472
1316,0.00169
1315,0.00109
1314,0.0026
1313,0.00479
1312,0.00545
1311,0.00192
1310,0.00167
1309,0.00516
1308,0.00355
1307,0.00474
1306,0.0052
1305,0.00327
1304,0.00187
1303,3.21E-04
1302,-0.0012
1301,0.00235
1300,4.76E-04
1299,0.00274
1298,0.00175
1297,0.00451
1296,0.00315
1295,0.00414
1294,0.00299
1293,9.42E-04
1292,-0.00113
1291,-4.32E-04
1290,-0.00135
1289,9.53E-04
1288,0.00431
1287,0.0038
1286,0.0021
1285,1.12E-04
1284,-0.00127
1283,-1.93E-04
1282,0.00402
1281,0.00292
1280,1.98E-04
1279,0.00148
1278,0.00332
1277,0.00579
1276,0.00541
1275,0.00316
1274,0.00121
1273,0.00183
1272,0.00164
1271,-0.0023
1270,-0.00245
1269,-0.00225
1268,-2.53E-05
1267,0.002
1266,0.00576
1265,0.00425
1264,2.98E-04
1263,0.00352
1262,0.00204
1261,-8.85E-04
1260,0.00514
1259,0.00409
1258,-6.09E-04
1257,0.00202
1256,0.0032
1255,0.00201
1254,0.00355
1253,-7.43E-05
1252,0.001
1251,0.00333
1250,0.00289
1249,-3.56E-04
1248,-0.00193
1247,-0.00262
1246,-0.0014
1245,0.00313
1244,0.00121
1243,-0.00308
1242,-8.16E-04
1241,-0.00158
1240,-0.00472
1239,3.25E-04
1238,0.00109
1237,0.00138
1236,0.00169
1235,-0.00153
1234,-9.47E-04
1233,0.00195
1232,0.00272
1231,-3.68E-04
1230,0.00171
1229,0.00171
1228,4.61E-04
1227,0.00436
1226,0.00337
1225,0.00421
1224,0.00637
1223,0.01132
1222,0.0059
1221,0.00111
1220,0.00275
1219,0.00226
1218,0.00238
1217,0.00434
1216,0.00541
1215,0.00772
1214,0.00329
1213,0.00631
1212,0.00869
1211,9.95E-04
1210,0.00155
1209,0.0024
1208,0.00192
1207,0.00336
1206,-0.00182
1205,0.00102
1204,3.18E-05
1203,4.22E-04
1202,-0.00101
1201,-0.00346
1200,5.44E-04
1199,-6.36E-04
1198,-5.96E-04
1197,0.00212
1196,0.00226
1195,-0.00197
1194,-6.67E-04
1193,0.00115
1192,-0.00529
1191,0.00182
1190,-1.59E-04
1189,6.81E-04
1188,9.30E-04
1187,0.00184
1186,-0.00413
1185,-0.00587
1184,5.86E-04
1183,-0.00245
1182,2.73E-04
1181,0.0074
1180,-0.00895
1179,9.58E-04
1178,0.00224
1177,0.0036
1176,-0.00256
1175,0.00107
1174,-0.00873
1173,6.75E-04
1172,-0.00409
1171,-6.89E-04
1170,0.00567
1169,0.00282
1168,-2.18E-04
1167,-0.0015
1166,-0.00171
1165,0.00575
1164,0.004
1163,0.00547
1162,-0.00446
1161,-0.00348
1160,-0.00709
1159,0.00531
1158,5.18E-04
1157,-0.00404
1156,-3.70E-04
1155,-0.00435
1154,-6.83E-05
1153,-0.00469
1152,-0.00392
1151,-0.00831
1150,-0.00159
1149,-0.00707
1148,-0.00426
1147,-0.00947
1146,-0.00558
1145,-0.00134
1144,-0.00502
1143,-0.00435
1142,-0.00762
1141,-0.01052
1140,-0.00977
1139,-0.00535
1138,-0.00769
1137,-0.00678
1136,-0.00501
1135,-0.00357
1134,-0.00507
1133,-0.00418
1132,-0.00274
1131,-0.00627
1130,-0.00225
1129,-0.00531
1128,-0.00317
1127,-0.00371
1126,-0.00151
1125,0.00377
1124,1.07E-05
1123,-0.00407
1122,-0.00559
1121,-0.00368
1120,0.00276
1119,5.30E-04
1118,-0.00568
1117,-0.00208
1116,5.15E-04
1115,-2.14E-04
1114,-5.43E-04
1113,-0.00263
1112,4.59E-04
1111,-0.00306
1110,-0.00481
1109,-2.49E-04
1108,-0.00185
1107,-0.0066
1106,-0.00384
1105,-3.89E-04
1104,1.13E-05
1103,-0.00152
1102,0.00185
1101,-0.00217
1100,-0.00331
1099,8.39E-04
1098,-0.00145
1097,0.00143
1096,-8.94E-04
1095,-0.003
1094,-0.00282
1093,-9.09E-04
1092,-0.0024
1091,-0.00331
1090,-0.00311
1089,-0.00369
1088,-9.68E-04
1087,-0.00677
1086,-0.00467
1085,-0.00778
1084,-0.00458
1083,-4.91E-04
1082,8.56E-05
1081,-0.00193
1080,-3.11E-04
1079,0.00283
1078,-1.38E-04
1077,6.09E-04
1076,0.00409
1075,-0.00314
1074,-0.00603
1073,-0.00274
1072,-0.00264
1071,-0.00281
1070,-0.0038
1069,-0.00612
1068,-0.0039
1067,0.00119
1066,8.59E-04
1065,-0.00407
1064,-0.0013
1063,0.00265
1062,0.00173
1061,-0.00102
1060,-0.00345
1059,-0.00411
1058,-0.00367
1057,-9.05E-04
1056,-0.00135
1055,-0.0032
1054,0.00167
1053,-0.0029
1052,-0.00206
1051,9.13E-04
1050,-0.00559
1049,-0.00533
1048,-0.00111
1047,0.00206
1046,-0.00167
1045,-0.00165
1044,-0.00211
1043,-0.00166
1042,-0.00286
1041,-0.00467
1040,-0.00354
1039,-0.00177
1038,-0.00496
1037,-0.00374
1036,-0.00576
1035,-0.00211
1034,-0.00118
1033,3.94E-04
1032,-1.07E-04
1031,-0.00228
1030,-0.00448
1029,-0.00451
1028,-0.00408
1027,-0.00106
1026,-0.00301
1025,-0.00298
1024,-0.00288
1023,-0.00605
1022,-0.00625
1021,-0.00288
1020,6.17E-04
1019,-0.00267
1018,-0.00361
1017,-0.00636
1016,-0.00559
1015,-0.00487
1014,-0.00749
1013,-0.00292
1012,-0.00498
1011,7.89E-04
1010,-7.84E-04
1009,-0.00355
1008,0.00242
1007,-8.47E-04
1006,-0.00593
1005,-4.07E-04
1004,-7.92E-04
1003,-0.00412
1002,-0.00527
1001,-7.57E-04
1000,0.00311
999,0.00374
998,0.00496
997,-0.00346
996,-0.00306
995,7.16E-04
994,-0.00261
993,-0.00245
992,1.26E-04
991,-0.00521
990,-0.00106
989,-9.07E-04
988,-0.00149
987,0.0016
986,-2.81E-04
985,-0.00114
984,0.00405
983,8.39E-05
982,-0.00266
981,-0.00149
980,5.87E-04
979,0.00155
978,-0.00204
977,-2.21E-05
976,0.00149
975,0.00158
974,0.00438
973,0.00407
972,0.00823
971,-0.00521
970,-0.00327
969,-0.00662
968,-0.00141
967,6.99E-04
966,0.00713
965,-0.00158
964,0.00446
963,0.00386
962,0.00128
961,0.00323
960,-0.00206
959,-0.00132
958,-0.0045
957,1.15E-05
956,-0.00149
955,0.00596
954,-0.00139
953,0.00473
952,-0.00435
951,0.00606
950,-0.00527
949,-0.00732
948,-0.00597
947,9.04E-04
946,0.00422
945,-9.38E-04
944,-0.00592
943,0.00413
942,-0.00347
941,-0.00557
940,0.00149
939,0.00142
938,-0.0036
937,-0.01121
936,0.0073
935,-0.00295
934,0.00369
933,0.00255
932,6.73E-04
931,0.00448
930,0.00879
929,-0.00473
928,-0.00199
927,-0.00624
926,2.85E-04
925,0.00213
924,-0.00398
923,-0.00395
922,-0.00221
921,-0.00333
920,-0.00263
919,-0.0018
918,-0.00123
917,-0.00504
916,-0.00504
915,-4.42E-04
914,-0.00122
913,-0.00229
912,-0.00457
911,-0.00313
910,-0.00329
909,-0.00213
908,-0.0043
907,-0.00729
906,-0.00105
905,-0.0077
904,-0.0046
903,-0.00295
902,-0.00135
901,-0.00495
900,-0.00494
899,-0.00685
898,-0.00158
897,2.61E-04
896,-0.00199
895,0.00175
894,6.19E-04
893,0.00119
892,-0.00169
891,-0.00253
890,0.00209
889,0.00323
888,8.48E-04
887,-0.00241
886,-0.00316
885,0.00305
884,6.49E-04
883,8.19E-04
882,0.00246
881,0.00141
880,-3.74E-04
879,0.00252
878,0.00191
877,0.00164
876,0.0027
875,0.00487
874,0.00506
873,0.0021
872,-0.00119
871,6.25E-04
870,0.00488
869,-0.00125
868,0.0012
867,0.00735
866,0.00757
865,0.00383
864,3.84E-04
863,0.0058
851,0.01217
850,0.009
849,0.00747
848,0.0097
847,0.00713
846,0.00368
845,0.00509
844,0.00698
843,0.00539
842,0.00456
841,0.00364
840,0.00394
839,0.00366
838,0.00347
837,0.00249
836,0.00217
835,0.00233
834,0.00103
833,4.33E-04
832,8.89E-04
831,7.04E-04
830,1.39E-04
829,9.44E-04
828,0.00102
827,6.13E-04
826,0.00153
825,0.00152
824,0.00174
823,0.00266
822,0.00216
821,0.00251
820,0.00312
819,0.00257
818,0.00302
817,0.00282
816,0.00159
815,0.00303
814,0.00357
813,0.00187
812,0.00158
811,0.00323
810,0.00275
809,0.00319
808,0.00375
807,0.00253
806,0.00216
805,0.00259
804,0.00285
803,0.00262
802,0.00283
801,0.00241
800,0.00439
799,0.00494
798,0.0036
797,0.00397
796,0.0033
795,0.00115
794,0.00352
793,0.00324
792,0.00249
791,0.00304
790,0.00248
789,8.02E-04
788,0.00257
787,0.00389
786,0.00362
785,9.77E-04
784,0.00203
783,0.00208
782,0.00287
781,0.00306
780,0.00238
779,0.00286
778,0.00358
777,0.0033
776,0.00337
775,0.00227
774,0.00146
773,0.00158
772,0.00207
771,0.00135
770,0.00507
769,0.00515
768,0.0018
767,0.0019
766,0.00221
765,0.00103
764,0.00194
763,0.00172
762,0.00213
761,0.0012
760,4.21E-04
759,1.92E-04
758,0.00262
757,0.00224
756,3.24E-04
755,6.84E-04
754,6.94E-04
753,4.33E-04
752,0.00223
751,0.00164
750,-1.32E-04
749,0.00183
748,0.00124
747,-7.80E-04
746,0.00137
745,0.00292
744,-2.12E-04
743,6.34E-04
742,0.00199
741,0.00179
740,0.00148
739,0.00134
738,0.00117
737,9.17E-04
736,0.00164
735,9.82E-04
734,0.00222
733,0.00117
732,0.00114
731,0.00181
730,0.00146
729,-0.00145
728,0.00189
727,4.65E-04
726,-4.07E-04
725,-4.99E-04
724,0.00141
723,0.00167
722,0.00201
721,0.00185
720,-6.34E-04
719,-6.69E-04
718,1.26E-04
717,-5.49E-04
716,0.00377
715,4.19E-04
714,-0.00112
713,0.00111
712,4.18E-04
711,0.00109
710,0.00138
709,-8.17E-04
708,-0.00121
707,-6.75E-04
706,-0.00133
705,-0.00146
704,0.00156
703,-6.58E-04
702,-0.00114
701,-0.00104
700,0.0014
699,-0.00181
698,7.29E-04
697,7.15E-04
696,5.80E-04
695,-0.00128
694,-0.00146
693,-9.16E-04
692,-7.82E-04
691,-2.49E-04
690,-2.86E-04
689,-4.54E-04
688,5.98E-04
687,-0.00132
686,-0.00139
685,-0.00314
684,-0.00291
683,-0.00147
682,-0.00234
681,-0.00132
680,0.00243
679,0.00147
678,-2.70E-04
677,-0.00175
676,-8.67E-04
675,-0.00138
674,1.34E-04
673,-3.21E-04
672,-7.77E-04
671,-9.84E-04
670,-0.00126
669,-0.00182
668,1.25E-04
667,-5.14E-04
666,1.88E-04
665,-0.00242
664,-0.01003
663,-0.00833
662,-5.92E-04
661,0.00379
660,7.55E-04
659,-0.00183
658,0.00186
657,0.00169
656,-0.00181
655,-8.02E-04
654,2.03E-04
653,-0.0015
652,-4.98E-04
651,4.96E-04
650,-7.71E-04
649,-0.00125
648,-8.47E-04
647,-0.00215
646,-0.00145
645,-0.00104
644,-0.00103
643,-0.00187
642,-0.00143
641,-0.00244
640,-0.00312
639,-0.00209
638,-6.66E-04
637,-0.00141
636,-0.00301
635,-0.00354
634,-0.00243
633,-0.0013
632,-0.00136
631,-0.00197
630,-0.00222
629,-0.0028
628,-0.00185
627,-0.00128
626,-0.00229
625,-0.0036
624,-0.00366
623,-0.00308
622,-0.00361
621,-0.00328
620,-0.0019
619,-0.00349
618,-0.00402
617,-0.00326
616,-0.00207
615,-6.27E-04
614,-0.00102
613,-0.00167
612,-0.00315
611,-0.00411
610,-0.00371
609,-0.00238
608,-0.0012
607,-0.002
606,-0.00269
605,-0.00332
604,-0.00461
603,-0.0036
602,-0.00198
601,-0.00246
600,-0.00254
599,-0.00329
598,-0.0026
597,2.48E-04
596,5.80E-04
595,-6.59E-04
594,-3.48E-04
593,-1.77E-04
592,-1.97E-04
591,0.00125
590,0.00189
589,5.08E-04
588,0.00341
587,0.00738
586,0.00795
585,0.01125
584,0.0122
583,0.01218
582,0.0139
581,0.01525
580,0.01685
579,0.02072
578,0.02362
577,0.0159
576,0.01553
575,0.02473
574,0.02786
573,0.02943
572,0.03407
571,0.03696
570,0.03833
569,0.0392
568,0.044
567,0.05382
566,0.05663
565,0.06481
564,0.0785
563,0.09594
562,0.1216
561,0.15449
560,0.19319
559,0.24081
558,0.30272
557,0.3813
556,0.47877
555,0.60505
554,0.76931
553,0.9807
552,1.2443
551,1.58271
550,2.01305
549,2.55785
548,3.23647
547,4.06983
546,5.09426
545,6.34641
544,7.83847
543,9.61672
542,11.65909
541,14.01401
540,16.61376
539,19.31365
538,21.92039
537,24.06398
536,25.42089
535,25.80298
534,25.08886
533,23.40485
532,21.07778
531,18.5487
530,16.21609
529,14.24615
528,12.64733
527,11.37958
526,10.28886
525,9.3042
524,8.35091
523,7.44261
522,6.61918
521,5.91536
520,5.36183
519,4.93674
518,4.62216
517,4.3894
516,4.21812
515,4.10624
514,4.06776
513,4.1276
512,4.31508
511,4.65257
510,5.16227
509,5.8513
508,6.73764
507,7.80221
506,9.03328
505,10.39093
504,11.84015
503,13.3049
502,14.67245
501,15.88151
500,16.78873
499,17.28679
498,17.29015
497,16.7761
496,15.8338
495,14.62734
494,13.29769
493,11.94078
492,10.66045
491,9.47689
