Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1),Mass Attenuation Coeff (Lg-1cm-1)
Wavelength (nm),TIPS-Tc,PbS-TET-CA
1600,3.69E-04,0.0297
1599,0.00758,0.0516
1598,0.0018,0.03416
1597,0.00455,0.04386
1596,1.75E-04,0.03802
1595,-0.00173,0.03118
1594,0.00354,0.04538
1593,0.00535,0.03838
1592,0.0065,0.0392
1591,0.00166,0.04282
1590,0.00408,0.04908
1589,-0.00368,0.03464
1588,0.00198,0.03632
1587,0.00164,0.03758
1586,-0.00364,0.0356
1585,0.00129,0.0424
1584,0.00516,0.04074
1583,0.00557,0.03766
1582,0.00682,0.05172
1581,0.00623,0.04544
1580,0.00425,0.0451
1579,0.00192,0.03756
1578,0.00549,0.04854
1577,0.00865,0.0439
1576,0.00359,0.03948
1575,0.00106,0.02886
1574,0.01007,0.04252
1573,0.01109,0.0477
1572,0.00527,0.04028
1571,-0.00483,0.03374
1570,0.00329,0.0407
1569,0.00458,0.03508
1568,0.00104,0.03202
1567,-2.06E-04,0.03274
1566,0.00415,0.04906
1565,0.00713,0.04092
1564,0.00647,0.04188
1563,0.01121,0.05136
1562,0.00461,0.04136
1561,0.00316,0.04356
1560,0.00224,0.03446
1559,3.78E-04,0.02754
1558,0.00288,0.04402
1557,0.00145,0.03734
1556,0.00281,0.04702
1555,0.00596,0.0501
1554,0.00486,0.03058
1553,3.40E-04,0.02396
1552,0.00335,0.0376
1551,0.00224,0.03328
1550,0.00506,0.03398
1549,8.00E-04,0.02826
1548,0.00832,0.04458
1547,4.03E-05,0.03006
1546,0.00699,0.04538
1545,-5.40E-04,0.0346
1544,0.00247,0.04006
1543,0.00507,0.04232
1542,0.00681,0.03536
1541,0.00217,0.03276
1540,0.00762,0.03876
1539,0.01003,0.04284
1538,0.00594,0.04066
1537,0.00318,0.03492
1536,1.48E-04,0.03618
1535,-5.72E-04,0.02922
1534,-0.00264,0.02922
1533,0.00558,0.04038
1532,0.0062,0.04162
1531,0.00721,0.04678
1530,0.00375,0.04384
1529,0.0075,0.0377
1528,0.00406,0.03956
1527,0.00472,0.04266
1526,0.0065,0.04328
1525,0.00596,0.03922
1524,0.00101,0.03566
1523,0.00184,0.04152
1522,0.00721,0.04818
1521,0.00414,0.03576
1520,0.0054,0.04038
1519,0.00518,0.03594
1518,0.00298,0.03458
1517,0.00376,0.04268
1516,0.00229,0.04596
1515,0.00436,0.04756
1514,0.00561,0.04484
1513,0.00644,0.0432
1512,0.00761,0.04376
1511,0.00621,0.04458
1510,0.00458,0.04188
1509,0.00708,0.03984
1508,0.00603,0.0385
1507,0.00411,0.0444
1506,0.00555,0.04438
1505,0.0031,0.0372
1504,0.00737,0.04042
1503,0.00784,0.04338
1502,0.00154,0.0399
1501,0.00651,0.0423
1500,0.00911,0.04116
1499,0.00485,0.03524
1498,0.00588,0.03298
1497,0.00341,0.0264
1496,0.00541,0.03652
1495,0.00412,0.04068
1494,0.0045,0.0407
1493,0.00515,0.04936
1492,0.00495,0.05222
1491,0.00645,0.04474
1490,0.00858,0.04082
1489,0.00631,0.03532
1488,0.00139,0.02978
1487,0.00137,0.03538
1486,-7.32E-04,0.0338
1485,0.00264,0.03726
1484,0.00248,0.04008
1483,0.00133,0.03988
1482,0.00519,0.04156
1481,0.00107,0.03574
1480,0.00366,0.03536
1479,0.00814,0.04116
1478,0.00326,0.04202
1477,0.00185,0.04128
1476,0.00487,0.04358
1475,0.0067,0.03756
1474,0.0043,0.03456
1473,0.00124,0.02836
1472,0.00634,0.04
1471,0.00261,0.03862
1470,-1.01E-04,0.0396
1469,2.86E-04,0.03876
1468,0.00177,0.03534
1467,0.00331,0.03338
1466,0.00518,0.04152
1465,0.0041,0.04108
1464,0.0046,0.04294
1463,0.00619,0.04054
1462,0.0035,0.0383
1461,0.00407,0.03788
1460,0.004,0.02922
1459,0.00196,0.02932
1458,0.00254,0.0398
1457,0.00344,0.03422
1456,0.00383,0.04034
1455,9.63E-04,0.04576
1454,5.50E-04,0.04244
1453,-7.14E-04,0.03472
1452,0.00467,0.038
1451,0.00453,0.0409
1450,7.86E-04,0.03732
1449,-0.00131,0.03728
1448,0.00332,0.04198
1447,0.0051,0.04264
1446,2.41E-04,0.0411
1445,-0.0021,0.03396
1444,-1.27E-04,0.03714
1443,0.00386,0.03602
1442,-0.00173,0.03314
1441,0.00186,0.03172
1440,-0.00159,0.02538
1439,0.0028,0.04068
1438,0.00251,0.04158
1437,-0.00106,0.0372
1436,-8.52E-06,0.03514
1435,0.00241,0.04832
1434,0.0121,0.05824
1433,0.00234,0.04416
1432,0.00627,0.04126
1431,0.01484,0.07162
1430,0.01466,0.06532
1429,0.01424,0.05952
1428,0.01558,0.07848
1427,0.0207,0.08732
1426,0.02241,0.06964
1425,0.02463,0.07788
1424,0.02146,0.07154
1423,0.02559,0.08028
1422,0.02406,0.07566
1421,0.02659,0.07866
1420,0.02278,0.0751
1419,0.02077,0.07702
1418,0.02815,0.09204
1417,0.01776,0.0818
1416,0.01427,0.06062
1415,0.02058,0.07736
1414,0.01977,0.05828
1413,0.01961,0.0635
1412,0.01408,0.05632
1411,0.01148,0.0458
1410,0.01288,0.04978
1409,0.00829,0.03328
1408,0.00569,0.03312
1407,-0.00165,0.03096
1406,-4.55E-04,0.02084
1405,-0.00433,0.0162
1404,-0.00238,0.01608
1403,-0.00681,0.01496
1402,-0.01388,0.00854
1401,-0.00665,0.00284
1400,-0.00821,0.00874
1399,-0.01036,-0.002
1398,-0.01497,-0.02174
1397,-0.01875,-6.20E-04
1396,-0.01401,-0.00782
1395,-0.0032,0.00668
1394,-0.01774,-0.02884
1393,-0.01971,-0.02208
1392,-0.01521,-0.02142
1391,-0.02071,-0.03498
1390,-0.02378,-0.03734
1389,-0.02643,-0.04146
1388,-0.02047,-0.03324
1387,-0.01594,-0.0287
1386,-0.02677,-0.03814
1385,-0.03065,-0.0514
1384,-0.03048,-0.0578
1383,-0.02707,-0.0402
1382,-0.02306,-0.03396
1381,-0.02731,-0.049
1380,-0.01521,-0.02316
1379,-0.02269,-0.03102
1378,-0.02599,-0.02954
1377,-0.02091,-0.01628
1376,-0.01408,-5.60E-04
1375,-0.01384,-0.00904
1374,-0.02045,-0.01106
1373,-0.00694,0.0129
1372,-7.04E-04,0.0319
1371,0.00264,0.03602
1370,-0.00545,0.02292
1369,-0.00441,0.01822
1368,-5.23E-04,0.02978
1367,-0.00241,0.04658
1366,0.00128,0.03582
1365,0.00685,0.0567
1364,-0.00915,0.03038
1363,-3.12E-04,0.04678
1362,0.00504,0.04994
1361,0.00269,0.04374
1360,0.00684,0.0563
1359,0.00159,0.04552
1358,0.00136,0.0488
1357,0.00275,0.04396
1356,-0.00246,0.0483
1355,-7.66E-04,0.04416
1354,0.00136,0.05364
1353,0.00216,0.05646
1352,-4.51E-04,0.05246
1351,-0.00186,0.05974
1350,-5.18E-04,0.04832
1349,0.00306,0.05784
1348,6.04E-04,0.05412
1347,0.0034,0.06338
1346,-6.13E-04,0.0573
1345,0.00203,0.05474
1344,-0.00114,0.05236
1343,0.00719,0.06608
1342,0.0015,0.06662
1341,0.00237,0.06098
1340,-6.70E-05,0.05078
1339,-0.00381,0.0596
1338,0.00253,0.06636
1337,0.0013,0.06384
1336,0.00585,0.06638
1335,0.00359,0.0645
1334,-3.53E-04,0.06032
1333,0.00611,0.0686
1332,0.00297,0.06422
1331,0.00116,0.06558
1330,-0.00293,0.05844
1329,-0.00396,0.05304
1328,0.00409,0.0725
1327,0.00404,0.06494
1326,0.00517,0.06428
1325,-0.00102,0.0607
1324,-0.00465,0.0581
1323,-0.0017,0.0628
1322,0.00493,0.07412
1321,-7.22E-04,0.0756
1320,-2.53E-04,0.0704
1319,0.00173,0.07466
1318,0.00598,0.08228
1317,0.00472,0.08626
1316,0.00169,0.0787
1315,0.00109,0.07584
1314,0.0026,0.08024
1313,0.00479,0.08056
1312,0.00545,0.0746
1311,0.00192,0.0799
1310,0.00167,0.08784
1309,0.00516,0.09318
1308,0.00355,0.0937
1307,0.00474,0.09254
1306,0.0052,0.0877
1305,0.00327,0.08996
1304,0.00187,0.0939
1303,3.21E-04,0.09284
1302,-0.0012,0.0878
1301,0.00235,0.08582
1300,4.76E-04,0.09042
1299,0.00274,0.10078
1298,0.00175,0.09698
1297,0.00451,0.10138
1296,0.00315,0.10312
1295,0.00414,0.10834
1294,0.00299,0.10634
1293,9.42E-04,0.10592
1292,-0.00113,0.11012
1291,-4.32E-04,0.11024
1290,-0.00135,0.10894
1289,9.53E-04,0.11124
1288,0.00431,0.1134
1287,0.0038,0.11964
1286,0.0021,0.11956
1285,1.12E-04,0.11684
1284,-0.00127,0.11918
1283,-1.93E-04,0.12224
1282,0.00402,0.12782
1281,0.00292,0.12912
1280,1.98E-04,0.1214
1279,0.00148,0.12238
1278,0.00332,0.13726
1277,0.00579,0.14028
1276,0.00541,0.13408
1275,0.00316,0.1334
1274,0.00121,0.13778
1273,0.00183,0.13962
1272,0.00164,0.13522
1271,-0.0023,0.13278
1270,-0.00245,0.13336
1269,-0.00225,0.13842
1268,-2.53E-05,0.14148
1267,0.002,0.14564
1266,0.00576,0.15102
1265,0.00425,0.14862
1264,2.98E-04,0.1466
1263,0.00352,0.15736
1262,0.00204,0.15472
1261,-8.85E-04,0.15104
1260,0.00514,0.16362
1259,0.00409,0.15738
1258,-6.09E-04,0.15562
1257,0.00202,0.16332
1256,0.0032,0.16884
1255,0.00201,0.17072
1254,0.00355,0.16466
1253,-7.43E-05,0.16058
1252,0.001,0.16616
1251,0.00333,0.17466
1250,0.00289,0.17298
1249,-3.56E-04,0.16756
1248,-0.00193,0.16494
1247,-0.00262,0.16256
1246,-0.0014,0.16574
1245,0.00313,0.17592
1244,0.00121,0.17868
1243,-0.00308,0.17736
1242,-8.16E-04,0.18684
1241,-0.00158,0.1931
1240,-0.00472,0.18898
1239,3.25E-04,0.19108
1238,0.00109,0.18754
1237,0.00138,0.1963
1236,0.00169,0.1992
1235,-0.00153,0.19434
1234,-9.47E-04,0.19978
1233,0.00195,0.19938
1232,0.00272,0.19592
1231,-3.68E-04,0.19846
1230,0.00171,0.20694
1229,0.00171,0.20784
1228,4.61E-04,0.20994
1227,0.00436,0.21424
1226,0.00337,0.2122
1225,0.00421,0.22092
1224,0.00637,0.22932
1223,0.01132,0.22638
1222,0.0059,0.22688
1221,0.00111,0.21856
1220,0.00275,0.21988
1219,0.00226,0.22352
1218,0.00238,0.2337
1217,0.00434,0.23476
1216,0.00541,0.24
1215,0.00772,0.23276
1214,0.00329,0.2327
1213,0.00631,0.24776
1212,0.00869,0.24786
1211,9.95E-04,0.23494
1210,0.00155,0.2329
1209,0.0024,0.24012
1208,0.00192,0.23956
1207,0.00336,0.2322
1206,-0.00182,0.24224
1205,0.00102,0.25122
1204,3.18E-05,0.25104
1203,4.22E-04,0.25326
1202,-0.00101,0.24488
1201,-0.00346,0.24318
1200,5.44E-04,0.25168
1199,-6.36E-04,0.26274
1198,-5.96E-04,0.26774
1197,0.00212,0.26978
1196,0.00226,0.26804
1195,-0.00197,0.25792
1194,-6.67E-04,0.27102
1193,0.00115,0.27414
1192,-0.00529,0.27126
1191,0.00182,0.25826
1190,-1.59E-04,0.26714
1189,6.81E-04,0.27884
1188,9.30E-04,0.27492
1187,0.00184,0.27776
1186,-0.00413,0.2748
1185,-0.00587,0.2662
1184,5.86E-04,0.27236
1183,-0.00245,0.2696
1182,2.73E-04,0.28104
1181,0.0074,0.29366
1180,-0.00895,0.27554
1179,9.58E-04,0.27856
1178,0.00224,0.28554
1177,0.0036,0.28974
1176,-0.00256,0.27674
1175,0.00107,0.28556
1174,-0.00873,0.28012
1173,6.75E-04,0.2811
1172,-0.00409,0.28558
1171,-6.89E-04,0.28734
1170,0.00567,0.2959
1169,0.00282,0.281
1168,-2.18E-04,0.2949
1167,-0.0015,0.28654
1166,-0.00171,0.27464
1165,0.00575,0.29402
1164,0.004,0.288
1163,0.00547,0.29952
1162,-0.00446,0.28094
1161,-0.00348,0.28938
1160,-0.00709,0.28464
1159,0.00531,0.2877
1158,5.18E-04,0.2882
1157,-0.00404,0.27958
1156,-3.70E-04,0.27878
1155,-0.00435,0.28396
1154,-6.83E-05,0.27974
1153,-0.00469,0.2817
1152,-0.00392,0.28016
1151,-0.00831,0.27816
1150,-0.00159,0.28456
1149,-0.00707,0.27314
1148,-0.00426,0.279
1147,-0.00947,0.2715
1146,-0.00558,0.26856
1145,-0.00134,0.2851
1144,-0.00502,0.27202
1143,-0.00435,0.2725
1142,-0.00762,0.2754
1141,-0.01052,0.26228
1140,-0.00977,0.26492
1139,-0.00535,0.27738
1138,-0.00769,0.25722
1137,-0.00678,0.26284
1136,-0.00501,0.26706
1135,-0.00357,0.26706
1134,-0.00507,0.26288
1133,-0.00418,0.2666
1132,-0.00274,0.26462
1131,-0.00627,0.26414
1130,-0.00225,0.26354
1129,-0.00531,0.2643
1128,-0.00317,0.27224
1127,-0.00371,0.2637
1126,-0.00151,0.26556
1125,0.00377,0.26778
1124,1.07E-05,0.26682
1123,-0.00407,0.25696
1122,-0.00559,0.25056
1121,-0.00368,0.25616
1120,0.00276,0.25916
1119,5.30E-04,0.25658
1118,-0.00568,0.25276
1117,-0.00208,0.26684
1116,5.15E-04,0.26808
1115,-2.14E-04,0.2599
1114,-5.43E-04,0.25174
1113,-0.00263,0.23998
1112,4.59E-04,0.2452
1111,-0.00306,0.251
1110,-0.00481,0.23968
1109,-2.49E-04,0.24374
1108,-0.00185,0.23694
1107,-0.0066,0.23118
1106,-0.00384,0.24198
1105,-3.89E-04,0.24646
1104,1.13E-05,0.24582
1103,-0.00152,0.24772
1102,0.00185,0.2405
1101,-0.00217,0.23666
1100,-0.00331,0.22984
1099,8.39E-04,0.22996
1098,-0.00145,0.2358
1097,0.00143,0.24664
1096,-8.94E-04,0.23948
1095,-0.003,0.22822
1094,-0.00282,0.22776
1093,-9.09E-04,0.23192
1092,-0.0024,0.2336
1091,-0.00331,0.23386
1090,-0.00311,0.2331
1089,-0.00369,0.23062
1088,-9.68E-04,0.23426
1087,-0.00677,0.22736
1086,-0.00467,0.2209
1085,-0.00778,0.21918
1084,-0.00458,0.22376
1083,-4.91E-04,0.22862
1082,8.56E-05,0.22792
1081,-0.00193,0.21902
1080,-3.11E-04,0.22018
1079,0.00283,0.22702
1078,-1.38E-04,0.22396
1077,6.09E-04,0.2257
1076,0.00409,0.23096
1075,-0.00314,0.21836
1074,-0.00603,0.21386
1073,-0.00274,0.21214
1072,-0.00264,0.21262
1071,-0.00281,0.217
1070,-0.0038,0.21412
1069,-0.00612,0.2126
1068,-0.0039,0.21206
1067,0.00119,0.2158
1066,8.59E-04,0.21812
1065,-0.00407,0.21292
1064,-0.0013,0.2247
1063,0.00265,0.22706
1062,0.00173,0.2205
1061,-0.00102,0.21762
1060,-0.00345,0.21138
1059,-0.00411,0.21486
1058,-0.00367,0.2144
1057,-9.05E-04,0.21108
1056,-0.00135,0.21844
1055,-0.0032,0.2168
1054,0.00167,0.21858
1053,-0.0029,0.21164
1052,-0.00206,0.21192
1051,9.13E-04,0.21208
1050,-0.00559,0.20222
1049,-0.00533,0.19754
1048,-0.00111,0.20742
1047,0.00206,0.21624
1046,-0.00167,0.209
1045,-0.00165,0.20888
1044,-0.00211,0.2127
1043,-0.00166,0.21286
1042,-0.00286,0.20416
1041,-0.00467,0.20004
1040,-0.00354,0.20276
1039,-0.00177,0.20684
1038,-0.00496,0.21292
1037,-0.00374,0.20734
1036,-0.00576,0.1976
1035,-0.00211,0.20912
1034,-0.00118,0.20632
1033,3.94E-04,0.20934
1032,-1.07E-04,0.2133
1031,-0.00228,0.20994
1030,-0.00448,0.19844
1029,-0.00451,0.1996
1028,-0.00408,0.20782
1027,-0.00106,0.21042
1026,-0.00301,0.21046
